year_month,usd_jpy_avg,usd_jpy_eom,trading_days
2014-12-01,119.62,119.62,1
2015-01-01,118.28,117.72,21
2015-02-01,118.672,119.26,20
2015-03-01,120.34,119.85,22
2015-04-01,119.617,118.82,20
2015-05-01,120.874,123.93,20
2015-06-01,123.73,122.45,22
2015-07-01,123.397,124.32,23
2015-08-01,123.129,121.33,21
2015-09-01,120.176,120.23,22
2015-10-01,120.022,120.61,22
2015-11-01,122.584,123.09,21
2015-12-01,121.692,120.39,22
2016-01-01,118.166,121.11,20
2016-02-01,114.809,113.1,21
2016-03-01,112.973,112.34,21
2016-04-01,109.61,107.29,21
2016-05-01,108.948,111.02,22
2016-06-01,105.478,102.73,22
2016-07-01,104.128,103.33,21
2016-08-01,101.227,103.31,23
2016-09-01,101.873,101.33,22
2016-10-01,103.827,105.03,21
2016-11-01,108.347,113.29,22
2016-12-01,116.11,117.07,21
2017-01-01,115.08,113.38,22
2017-02-01,112.914,112.14,20
2017-03-01,112.957,111.82,23
2017-04-01,110.319,111.4,18
2017-05-01,112.237,110.86,22
2017-06-01,110.941,111.94,22
2017-07-01,112.496,110.6,21
2017-08-01,109.857,110.62,23
2017-09-01,110.732,112.5,21
2017-10-01,112.935,113.42,22
2017-11-01,112.797,112.31,22
2017-12-01,112.906,112.57,19
2018-01-01,110.885,108.85,22
2018-02-01,107.948,107.02,20
2018-03-01,106.076,106.44,21
2018-04-01,107.659,109.38,20
2018-05-01,109.693,108.84,22
2018-06-01,110.058,110.69,21
2018-07-01,111.447,111.49,22
2018-08-01,111.003,110.76,23
2018-09-01,111.96,113.36,20
2018-10-01,112.867,113.23,23
2018-11-01,113.303,113.56,22
2018-12-01,112.332,109.91,19
2019-01-01,108.916,108.64,22
2019-02-01,110.368,110.76,20
2019-03-01,111.191,110.77,21
2019-04-01,111.616,111.37,20
2019-05-01,109.927,108.75,22
2019-06-01,108.099,107.73,20
2019-07-01,108.22,108.55,23
2019-08-01,106.219,106.27,22
2019-09-01,107.454,107.99,21
2019-10-01,108.127,108.24,23
2019-11-01,108.896,109.66,21
2019-12-01,109.094,108.55,20
2020-01-01,109.333,108.89,22
2020-02-01,110.07,108.74,20
2020-03-01,107.51,108.53,22
2020-04-01,107.69,106.54,20
2020-05-01,107.196,107.12,20
2020-06-01,107.619,107.75,22
2020-07-01,106.771,104.92,23
2020-08-01,106.021,105.92,21
2020-09-01,105.577,105.71,22
2020-10-01,105.21,104.6,22
2020-11-01,104.421,104.17,21
2020-12-01,103.766,103.08,22
2021-01-01,103.782,104.69,20
2021-02-01,105.384,106.29,20
2021-03-01,108.738,110.8,23
2021-04-01,108.936,108.94,20
2021-05-01,109.148,109.65,21
2021-06-01,110.1,110.59,22
2021-07-01,110.261,109.65,22
2021-08-01,109.827,109.81,22
2021-09-01,110.159,111.99,22
2021-10-01,113.098,113.89,21
2021-11-01,114.002,112.82,22
2021-12-01,113.943,115.12,23
2022-01-01,114.907,115.44,21
2022-02-01,115.198,115.47,20
2022-03-01,118.623,121.76,23
2022-04-01,126.297,129.99,19
2022-05-01,128.797,128.22,22
2022-06-01,134.002,136.27,22
2022-07-01,136.735,133.77,21
2022-08-01,135.14,138.72,23
2022-09-01,142.955,144.66,22
2022-10-01,147.295,148.68,21
2022-11-01,142.333,139.05,22
2022-12-01,134.887,131.88,21
2023-01-01,130.52,130.41,22
2023-02-01,132.897,136.76,20
2023-03-01,133.596,133.18,23
2023-04-01,133.583,136.01,18
2023-05-01,137.056,139.6,22
2023-06-01,141.27,144.63,22
2023-07-01,141.036,142.18,21
2023-08-01,144.809,145.83,23
2023-09-01,147.702,149.24,21
2023-10-01,149.621,150.96,22
2023-11-01,149.754,147.46,22
2023-12-01,144.208,141.48,19
2024-01-01,146.229,147.82,22
2024-02-01,149.496,150.13,21
2024-03-01,149.719,151.19,20
2024-04-01,153.843,157.0,21
2024-05-01,155.873,157.13,22
2024-06-01,157.842,160.62,20
2024-07-01,157.853,150.31,23
2024-08-01,146.262,145.39,22
2024-09-01,143.24,142.75,21
2024-10-01,149.684,152.82,23
2024-11-01,153.565,150.2,21
2024-12-01,153.738,156.95,20
2025-01-01,156.395,154.9,22
2025-02-01,151.831,150.76,20
2025-03-01,149.137,149.42,21
2025-04-01,144.212,143.04,20
2025-05-01,144.666,143.72,21
2025-06-01,144.598,144.34,21
2025-07-01,146.91,149.85,23
2025-08-01,147.698,147.3,21
2025-09-01,147.926,147.99,22
2025-10-01,151.467,154.18,23
2025-11-01,155.114,156.12,20
2025-12-01,155.864,156.67,21
2026-01-01,156.718,154.03,21
2026-02-01,155.155,155.98,20
2026-03-01,158.675,159.5,22
2026-04-01,159.064,156.56,20
2026-05-01,158.239,159.27,20
2026-06-01,160.725,162.44,22
2026-07-01,162.506,160.24,23
2026-08-01,158.668,159.07,18
