year_month,usd_jpy_avg,usd_jpy_eom,trading_days,Country,visitors
2015-01-01,118.28,117.72,21,South Korea,358093.0
2015-01-01,118.28,117.72,21,China,226214.0
2015-01-01,118.28,117.72,21,Taiwan,217035.0
2015-01-01,118.28,117.72,21,Hong Kong,87742.0
2015-01-01,118.28,117.72,21,Thailand,44770.0
2015-01-01,118.28,117.72,21,Singapore,11813.0
2015-01-01,118.28,117.72,21,Malaysia,12312.0
2015-01-01,118.28,117.72,21,Indonesia,9683.0
2015-01-01,118.28,117.72,21,Philippines,14428.0
2015-01-01,118.28,117.72,21,Vietnam,12266.0
2015-01-01,118.28,117.72,21,India,7771.0
2015-01-01,118.28,117.72,21,Israel,671.0
2015-01-01,118.28,117.72,21,Turkey,924.0
2015-01-01,118.28,117.72,21,United Kingdom,15030.0
2015-01-01,118.28,117.72,21,France,10035.0
2015-01-01,118.28,117.72,21,Germany,8325.0
2015-01-01,118.28,117.72,21,Italy,4168.0
2015-01-01,118.28,117.72,21,Russia,4024.0
2015-01-01,118.28,117.72,21,Spain,2501.0
2015-01-01,118.28,117.72,21,Sweden,2948.0
2015-01-01,118.28,117.72,21,Netherlands,2145.0
2015-01-01,118.28,117.72,21,Switzerland,1677.0
2015-01-01,118.28,117.72,21,Belgium,1046.0
2015-01-01,118.28,117.72,21,Finland,1501.0
2015-01-01,118.28,117.72,21,Poland,801.0
2015-01-01,118.28,117.72,21,Denmark,1196.0
2015-01-01,118.28,117.72,21,Norway,1114.0
2015-01-01,118.28,117.72,21,Austria,1024.0
2015-01-01,118.28,117.72,21,Portugal,777.0
2015-01-01,118.28,117.72,21,Ireland,936.0
2015-01-01,118.28,117.72,21,Africa,1801.0
2015-01-01,118.28,117.72,21,United States,62081.0
2015-01-01,118.28,117.72,21,Canada,14250.0
2015-01-01,118.28,117.72,21,Mexico,1694.0
2015-01-01,118.28,117.72,21,Brazil,2303.0
2015-01-01,118.28,117.72,21,Australia,48583.0
2015-01-01,118.28,117.72,21,New Zealand,3932.0
2015-01-01,118.28,117.72,21,Stateless,53.0
2015-02-01,118.672,119.26,20,South Korea,321576.0
2015-02-01,118.672,119.26,20,China,359080.0
2015-02-01,118.672,119.26,20,Taiwan,277626.0
2015-02-01,118.672,119.26,20,Hong Kong,109384.0
2015-02-01,118.672,119.26,20,Thailand,44038.0
2015-02-01,118.672,119.26,20,Singapore,16293.0
2015-02-01,118.672,119.26,20,Malaysia,19269.0
2015-02-01,118.672,119.26,20,Indonesia,8094.0
2015-02-01,118.672,119.26,20,Philippines,14190.0
2015-02-01,118.672,119.26,20,Vietnam,9489.0
2015-02-01,118.672,119.26,20,India,5982.0
2015-02-01,118.672,119.26,20,Israel,722.0
2015-02-01,118.672,119.26,20,Turkey,955.0
2015-02-01,118.672,119.26,20,United Kingdom,17770.0
2015-02-01,118.672,119.26,20,France,11951.0
2015-02-01,118.672,119.26,20,Germany,9815.0
2015-02-01,118.672,119.26,20,Italy,4680.0
2015-02-01,118.672,119.26,20,Russia,2781.0
2015-02-01,118.672,119.26,20,Spain,2806.0
2015-02-01,118.672,119.26,20,Sweden,2662.0
2015-02-01,118.672,119.26,20,Netherlands,2478.0
2015-02-01,118.672,119.26,20,Switzerland,1849.0
2015-02-01,118.672,119.26,20,Belgium,1435.0
2015-02-01,118.672,119.26,20,Finland,1401.0
2015-02-01,118.672,119.26,20,Poland,1080.0
2015-02-01,118.672,119.26,20,Denmark,1224.0
2015-02-01,118.672,119.26,20,Norway,1112.0
2015-02-01,118.672,119.26,20,Austria,1100.0
2015-02-01,118.672,119.26,20,Portugal,1004.0
2015-02-01,118.672,119.26,20,Ireland,930.0
2015-02-01,118.672,119.26,20,Africa,1746.0
2015-02-01,118.672,119.26,20,United States,59157.0
2015-02-01,118.672,119.26,20,Canada,16304.0
2015-02-01,118.672,119.26,20,Mexico,1678.0
2015-02-01,118.672,119.26,20,Brazil,1709.0
2015-02-01,118.672,119.26,20,Australia,30303.0
2015-02-01,118.672,119.26,20,New Zealand,3474.0
2015-02-01,118.672,119.26,20,Stateless,61.0
2015-03-01,120.34,119.85,22,South Korea,268156.0
2015-03-01,120.34,119.85,22,China,338121.0
2015-03-01,120.34,119.85,22,Taiwan,277934.0
2015-03-01,120.34,119.85,22,Hong Kong,117223.0
2015-03-01,120.34,119.85,22,Thailand,92438.0
2015-03-01,120.34,119.85,22,Singapore,23147.0
2015-03-01,120.34,119.85,22,Malaysia,28193.0
2015-03-01,120.34,119.85,22,Indonesia,19542.0
2015-03-01,120.34,119.85,22,Philippines,26786.0
2015-03-01,120.34,119.85,22,Vietnam,18736.0
2015-03-01,120.34,119.85,22,India,8228.0
2015-03-01,120.34,119.85,22,Israel,3068.0
2015-03-01,120.34,119.85,22,Turkey,1866.0
2015-03-01,120.34,119.85,22,United Kingdom,25205.0
2015-03-01,120.34,119.85,22,France,18090.0
2015-03-01,120.34,119.85,22,Germany,18374.0
2015-03-01,120.34,119.85,22,Italy,8869.0
2015-03-01,120.34,119.85,22,Russia,5503.0
2015-03-01,120.34,119.85,22,Spain,6330.0
2015-03-01,120.34,119.85,22,Sweden,5146.0
2015-03-01,120.34,119.85,22,Netherlands,4230.0
2015-03-01,120.34,119.85,22,Switzerland,3773.0
2015-03-01,120.34,119.85,22,Belgium,1982.0
2015-03-01,120.34,119.85,22,Finland,2323.0
2015-03-01,120.34,119.85,22,Poland,1775.0
2015-03-01,120.34,119.85,22,Denmark,2578.0
2015-03-01,120.34,119.85,22,Norway,2636.0
2015-03-01,120.34,119.85,22,Austria,1908.0
2015-03-01,120.34,119.85,22,Portugal,1516.0
2015-03-01,120.34,119.85,22,Ireland,1399.0
2015-03-01,120.34,119.85,22,Africa,3273.0
2015-03-01,120.34,119.85,22,United States,95609.0
2015-03-01,120.34,119.85,22,Canada,21638.0
2015-03-01,120.34,119.85,22,Mexico,3561.0
2015-03-01,120.34,119.85,22,Brazil,3423.0
2015-03-01,120.34,119.85,22,Australia,29178.0
2015-03-01,120.34,119.85,22,New Zealand,3558.0
2015-03-01,120.34,119.85,22,Stateless,103.0
2015-04-01,119.617,118.82,20,South Korea,304619.0
2015-04-01,119.617,118.82,20,China,405731.0
2015-04-01,119.617,118.82,20,Taiwan,335140.0
2015-04-01,119.617,118.82,20,Hong Kong,119602.0
2015-04-01,119.617,118.82,20,Thailand,117930.0
2015-04-01,119.617,118.82,20,Singapore,24833.0
2015-04-01,119.617,118.82,20,Malaysia,29556.0
2015-04-01,119.617,118.82,20,Indonesia,23364.0
2015-04-01,119.617,118.82,20,Philippines,36673.0
2015-04-01,119.617,118.82,20,Vietnam,28510.0
2015-04-01,119.617,118.82,20,India,9204.0
2015-04-01,119.617,118.82,20,Israel,4469.0
2015-04-01,119.617,118.82,20,Turkey,1822.0
2015-04-01,119.617,118.82,20,United Kingdom,27049.0
2015-04-01,119.617,118.82,20,France,27146.0
2015-04-01,119.617,118.82,20,Germany,15661.0
2015-04-01,119.617,118.82,20,Italy,10402.0
2015-04-01,119.617,118.82,20,Russia,5207.0
2015-04-01,119.617,118.82,20,Spain,5469.0
2015-04-01,119.617,118.82,20,Sweden,5230.0
2015-04-01,119.617,118.82,20,Netherlands,5037.0
2015-04-01,119.617,118.82,20,Switzerland,5476.0
2015-04-01,119.617,118.82,20,Belgium,2582.0
2015-04-01,119.617,118.82,20,Finland,2370.0
2015-04-01,119.617,118.82,20,Poland,2805.0
2015-04-01,119.617,118.82,20,Denmark,1934.0
2015-04-01,119.617,118.82,20,Norway,1448.0
2015-04-01,119.617,118.82,20,Austria,1726.0
2015-04-01,119.617,118.82,20,Portugal,1571.0
2015-04-01,119.617,118.82,20,Ireland,1372.0
2015-04-01,119.617,118.82,20,Africa,2689.0
2015-04-01,119.617,118.82,20,United States,95891.0
2015-04-01,119.617,118.82,20,Canada,21868.0
2015-04-01,119.617,118.82,20,Mexico,2931.0
2015-04-01,119.617,118.82,20,Brazil,4467.0
2015-04-01,119.617,118.82,20,Australia,34060.0
2015-04-01,119.617,118.82,20,New Zealand,4545.0
2015-04-01,119.617,118.82,20,Stateless,80.0
2015-05-01,120.874,123.93,20,South Korea,315389.0
2015-05-01,120.874,123.93,20,China,387170.0
2015-05-01,120.874,123.93,20,Taiwan,339677.0
2015-05-01,120.874,123.93,20,Hong Kong,120626.0
2015-05-01,120.874,123.93,20,Thailand,81015.0
2015-05-01,120.874,123.93,20,Singapore,24593.0
2015-05-01,120.874,123.93,20,Malaysia,25797.0
2015-05-01,120.874,123.93,20,Indonesia,18859.0
2015-05-01,120.874,123.93,20,Philippines,27847.0
2015-05-01,120.874,123.93,20,Vietnam,12319.0
2015-05-01,120.874,123.93,20,India,11328.0
2015-05-01,120.874,123.93,20,Israel,1693.0
2015-05-01,120.874,123.93,20,Turkey,1617.0
2015-05-01,120.874,123.93,20,United Kingdom,19882.0
2015-05-01,120.874,123.93,20,France,20324.0
2015-05-01,120.874,123.93,20,Germany,14340.0
2015-05-01,120.874,123.93,20,Italy,7873.0
2015-05-01,120.874,123.93,20,Russia,4275.0
2015-05-01,120.874,123.93,20,Spain,5578.0
2015-05-01,120.874,123.93,20,Sweden,3424.0
2015-05-01,120.874,123.93,20,Netherlands,4269.0
2015-05-01,120.874,123.93,20,Switzerland,3402.0
2015-05-01,120.874,123.93,20,Belgium,2083.0
2015-05-01,120.874,123.93,20,Finland,1739.0
